index,som_key,lon,lat
1141,549,5.1246963580000005,52.51048143
1142,609,5.132068053999999,52.51048143
1143,745,5.139439749,52.51048143
1144,804,5.146811444,52.51048143
1145,803,5.154183139,52.51048143
1146,862,5.1615548339999995,52.51048143
1147,922,5.168926529,52.51048143
1148,1042,5.176298224,52.51048143
1149,1103,5.18366992,52.51048143
1150,1163,5.191041615,52.51048143
1151,1223,5.19841331,52.51048143
1152,1283,5.205785005,52.51048143
1153,1343,5.2131567,52.51048143
1154,1404,5.220528395,52.51048143
1155,1464,5.22790009,52.51048143
1156,1523,5.235271786,52.51048143
1157,2263,5.242643481,52.51048143
1158,1705,5.250015176000001,52.51048143
1159,1643,5.2573868710000005,52.51048143
1160,1645,5.264758566,52.51048143
1161,2071,5.272130261,52.51048143
1162,2142,5.279501956,52.51048143
1163,2142,5.286873652,52.51048143
1164,2071,5.2942453469999995,52.51048143
1165,2131,5.301617042,52.51048143
1166,2382,5.308988737,52.51048143
1167,2081,5.316360432,52.51048143
1168,2200,5.3237321269999995,52.51048143
1169,2443,5.331103822,52.51048143
1170,2321,5.338475518,52.51048143
1171,2194,5.345847213,52.51048143
1172,2014,5.3532189080000006,52.51048143
1173,2480,5.360590603,52.51048143
1174,2540,5.367962298,52.51048143
1175,2480,5.375333993,52.51048143
1176,2253,5.382705688,52.51048143
1177,2433,5.390077384,52.51048143
1178,2499,5.397449078999999,52.51048143
1179,2494,5.404820774,52.51048143
1180,2553,5.412192469,52.51048143
1181,2554,5.419564164,52.51048143
1182,2558,5.426935858999999,52.51048143
1183,2557,5.434307554,52.51048143
1184,29,5.073094492,52.51496288
1185,269,5.080466188,52.51496288
1186,424,5.087837883,52.51496288
1187,485,5.095209578,52.51496288
1188,545,5.102581273,52.51496288
1189,546,5.109952968,52.51496288
1190,607,5.117324663,52.51496288
1191,550,5.1246963580000005,52.51496288
1192,684,5.132068053999999,52.51496288
1193,684,5.139439749,52.51496288
1194,743,5.146811444,52.51496288
1195,862,5.154183139,52.51496288
1196,922,5.1615548339999995,52.51496288
1197,922,5.168926529,52.51496288
1198,1042,5.176298224,52.51496288
1199,1102,5.18366992,52.51496288
1200,1162,5.191041615,52.51496288
1201,1222,5.19841331,52.51496288
1202,1282,5.205785005,52.51496288
1203,1343,5.2131567,52.51496288
1204,1403,5.220528395,52.51496288
1205,1463,5.22790009,52.51496288
1206,1523,5.235271786,52.51496288
1207,1643,5.242643481,52.51496288
1208,1704,5.250015176000001,52.51496288
1209,1763,5.2573868710000005,52.51496288
1210,1824,5.264758566,52.51496288
1211,1765,5.272130261,52.51496288
1212,2131,5.279501956,52.51496288
1213,2142,5.286873652,52.51496288
1214,2142,5.2942453469999995,52.51496288
1215,2201,5.301617042,52.51496288
1216,2443,5.308988737,52.51496288
1217,2081,5.316360432,52.51496288
1218,2080,5.3237321269999995,52.51496288
1219,2443,5.331103822,52.51496288
1220,2260,5.338475518,52.51496288
1221,2253,5.345847213,52.51496288
1222,2253,5.3532189080000006,52.51496288
