xy_buis (ID),som_key,GHG_ERROR,lon,lat
B43F0140001,887,0.25,93130.0,419433.0
B39F2953002,2127,0.21,179448.18,441079.56
B38E1514001,695,0.22,127138.0,447473.0
21BC608A001,1130,0.23,197006.0,516213.0
B45A2508001,2187,0.24,144809.0,422293.0
B45B1586001,2018,0.3,150260.29,420199.34
B38H0375001,695,0.37,137273.0,435573.0
B29A0163001,187,0.4,267612.9,489926.53
B45A0350001,267,0.4,147120.0,423990.0
B39C0198001,268,0.41,144880.0,426600.0
B39F0749001,1118,0.41,176042.17,437879.73
ASTE008001,1952,0.41,182763.0,380899.0
B44F0092001,1493,0.33,134842.0,416797.0
B40A0685001,449,0.31,184574.0,440190.0
B28H0693001,439,0.32,257033.5,475841.41
21FL9002001,1108,0.33,215094.0,520259.0
B45A2473001,1954,0.33,142026.73,417602.8
B51F0464001,12,0.33,170526.0,396643.0
21FP9001001,1108,0.34,215139.0,520325.0
B38H2376001,759,0.35,135939.0,433059.0
21EC506A001,1230,0.08,205205.0,518758.0
B06H1506001,935,0.09,210191.0,578642.0
B06H1509001,498,0.09,210231.0,578070.0
B06H1507001,929,0.08,210197.0,578406.0
B44F0252001,399,0.07,134047.5,424205.4
B45G0291001,15,0.04,163660.0,405580.0
GROO030001,34,0.04,181830.0,372522.0
21EC409A001,810,0.07,203965.0,515703.0
REESTDAL-PB7001,1381,0.07,222171.0,514561.0
5310_PBF001,2835,0.11,103368.0,393138.0
B40G1132001,1958,0.15,200263.0,435620.0
B41E0446001,185,0.15,241460.0,441740.0
WAMB004001,1435,0.16,153473.0,411765.0
B45A2529001,2484,0.18,144027.0,421196.0
PB27001,220,0.12,69569.4,447372.6
B39H3489002,1954,0.11,173087.34,436095.09
B23A0467001,801,0.11,263992.0,522898.0
B11B0274001,1407,0.12,197521.0,562651.0
B38H2373001,1126,0.14,137860.0,437128.0
21FL9007001,1166,0.13,218654.0,520111.0
21EC311A001,869,0.13,203767.0,513745.0
B38H2375001,1137,0.13,136383.0,434501.0
B28D1747001,2831,-2.39,235967.52,484195.66
B39D2632001,940,-2.29,155978.45,426185.18
B46B0744001,2954,-1.92,192186.0,416708.0
B49F0325001,2951,-1.91,96788.0,393919.0
REESTDAL-PB10001,686,-1.69,221195.0,517443.0
Lankheet Watermolenweg 4_1423_FT1_WATHTE_m_NAP_GW_DagGem001,1794,-8.59,246939.0,461604.0
EA_GM_B14001,2626,-5.84,262548.0,529265.0
EA_GM_B04001,2498,-1.67,260847.0,528721.0
B51E1728001,614,-0.84,165926.0,392917.0
B45D0330001,940,-1.03,150934.0,407059.0
5228001,1670,-1.0,112720.0,404697.0
BEKK002001,2062,-0.95,156634.0,408197.0
17AL850701001,1733,-0.86,221770.0,548075.0
5253001,554,-0.83,115420.0,396291.0
ANSERVELD-PB5O001,2073,-1.04,220300.0,534638.0
16CL851101 Wagenweg001,2249,-0.78,184108.0,535499.0
5327001,2070,-0.73,104580.0,393380.0
B23A0763001,972,-1.03,267389.0,523856.0
B37C0557001,2279,-1.45,62823.2,432877.4
B17A1521001,2778,-1.23,223145.0,544214.0
10-684001,2482,-1.15,55585.0,426798.0
B51E1568001,117,-1.12,163666.0,399666.0
B12B1725001,2378,-1.09,239467.0,569180.0
B17D0182001,140,0.42,235376.0,532317.0
WA258.207001,586,0.53,226080.0,534630.0
B45A2530001,1237,0.54,142950.0,420639.0
B39F2954002,444,0.57,179060.09,441143.8
B45A2473002,1954,0.62,142026.73,417602.8
B12C1574001,24,0.62,229631.0,552538.0
B43D0087002,1121,0.43,79268.0,412114.0
2031_PBF001,926,0.43,108862.0,411377.0
B45A2466002,2192,0.43,146820.49,418062.69
30-606001,2743,0.43,30990.0,401760.0
B28H0694001,439,0.49,257110.75,475965.04
B45A2470001,2252,0.51,143361.53,418192.51
B11H0310001,256,0.82,212625.0,550710.0
B51G0865001,594,0.91,165491.0,383159.0
9013_PBF2002,1064,1.05,93402.5481,410379.0138
OV003.017001,1058,1.58,227280.0,545717.0
B39H0437001,1367,0.63,177950.37,431690.82
B10H0277001,460,0.66,172972.35,550561.15
B34E1683001,1829,0.73,248253.32,473953.58
B12C1575001,144,0.71,229599.0,552206.0
B40D2286001,1714,0.72,191436.11,436088.69
B23A0774001,369,0.72,264451.0,518515.0
B52D1897001,741,-0.68,190523.0,381366.0
21CL0010001,2968,-1.37,186435.0,508956.0
B45C0580001,897,-1.28,149927.0,408032.0
10-640001,2428,-1.27,55173.0,426965.0
B39D2763001,2015,-1.08,153336.0,425044.0
NPD-PB3O001,1974,-1.4,221843.0,532585.0
B46B0722001,2895,-2.05,192121.0,416743.0
B46B0720001,2954,-1.93,192242.0,416712.0
B45B0340002,2670,-1.92,154288.0,422664.0
B17A1520001,2778,-1.63,223181.0,544220.0
B39D2766001,2015,-0.67,153381.0,425672.0
B39D2766002,2015,-0.67,153381.0,425672.0
30-656DL001,1912,-0.7,27748.0,400682.0
B37C0828001,1188,-0.62,69671.0,437222.0
21DL0007001,1885,-0.62,190218.0,510307.0
B37D0389001,1172,-0.62,79160.7,428452.3
B51E0075001,378,-0.6,167369.0,393257.0
5253_PBF001,554,-0.92,115420.0,396291.0
B31A0123001,289,-0.82,100352.9,466831.6
B51G0871001,948,-0.73,161006.0,381291.0
B12C1573001,899,1.38,229411.0,552854.0
B12D1800001,23,1.1,230444.0,553409.0
B16F2054001,20,1.18,215865.0,537963.0
B17C1763001,779,1.28,226474.0,534995.0
B17D1459001,20,1.28,237943.0,533984.0
B43E0292001,1065,1.78,87691.0,416466.0
B39D0320001,1239,0.98,153907.86,432443.48
B40A0562001,1656,0.76,183297.7,441101.03
B17A0126001,1018,0.68,221230.0,545860.0
B39F0753001,448,0.75,179816.68,438183.65
B43B0222001,533,0.77,74618.0,416889.0
B40A2160001,386,0.8,183770.0,439700.0
B39F0746001,1188,0.82,174525.0,438160.0
22AP7610001,1166,0.88,221692.0,516324.0
B17D0104001,32,0.94,232160.0,535050.0
B52C0485001,424,-2.78,185980.0,380300.0
10-700001,2616,-2.41,57616.0,428368.0
B21B0411001,2569,-6.45,196228.4,521171.0
B26H0181001,122,-6.2,177580.0,475470.0
B34E1788001,1602,-0.59,248242.74,468578.66
HOLT002001,1231,-0.58,197799.0,398143.0
8166_PBF001,1376,-0.08,79835.0,381824.0
DM-10-NW002,1949,-0.08,164218.0,581902.0
B12D1889001,872,-0.08,234223.0,552254.0
B22D0114001,557,-0.07,236841.54,500532.89
B29A0137001,1193,-0.07,263910.0,489400.0
B28H0692001,1499,-0.13,256957.55,475711.05
5238_PBF001,194,-0.11,116055.0,390807.0
B50B0493001,2006,-0.11,118429.0,388703.0
B31A0109001,465,0.02,101831.8,463257.2
B43E0291001,826,0.01,89970.0,418760.0
B06H1508001,929,0.04,210240.0,578386.0
5314_PBF001,2656,0.01,98945.0,388487.0
CORK003001,151,0.0,182582.0,372656.0
B45B1603001,1894,-0.05,152899.0,424937.0
HOLT001001,2312,-0.02,197700.0,398828.0
B23A0778001,376,0.0,263892.0,523582.0
10-686002,2366,-0.55,55113.0,427717.0
5226_PBF001,1221,-0.39,110960.0,405598.0
Brongebied Vl Aa-PB24001,2837,-0.35,214959.0,544451.0
B17B0262001,749,-0.35,238717.0,547062.0
B51E0266001,2895,-0.33,165923.0,394639.0
5028_PBF1001,2596,-0.51,114730.0,390157.0
B12D1804001,204,-0.54,231055.0,553283.0
B33D0207001,9,-0.52,198140.0,462265.0
10-686003,2366,-0.52,55113.0,427717.0
B12C1567001,141,-0.51,229632.0,553604.0
B38F0574001,2013,-0.49,136949.11,445847.71
B51E0234001,377,-0.49,168610.0,393390.0
B37C0326001,40,-0.45,69275.0,435043.0
B37H0994002,710,-0.45,90074.0,430794.0
B51E1656001,2964,-0.21,161280.0,397739.0
B39B1396001,1374,-0.2,157669.0,444504.0
B58A0804001,201,-0.2,181985.0,372776.0
B45B0323001,208,-0.22,157134.0,421529.0
B17E2224001,1497,-0.3,241674.0,545386.0
DYNA001001,329,-0.26,158205.0,407585.0
B44H0520001,1913,-0.28,134852.0,408268.0
B17E2223001,2540,-0.26,241539.0,545603.0
B52A0209001,2906,-0.26,182688.0,388072.0
B27E0556001,1825,-0.23,202273.18,499842.42
B45B0328001,149,-0.23,157956.0,421449.0
B58A0802001,201,-0.23,181985.0,372774.0
B46B0748001,2506,-3.34,194488.0,418808.0
B23A0786001,2495,-2.96,265256.0,524337.0
B58C0343001,9,-2.83,188260.0,360415.0
B28H1887001,17,8.17,255009.16,481611.46
5213001,2716,1.16,116258.0,388313.0
Scharreveld-PB1001,704,1.02,236028.0,538460.0
B17C1753001,646,1.16,222019.0,535048.0
B38A0261002,461,1.58,102504.7,440369.2
B12C1569001,2842,2.57,229628.0,553279.0
B16H1497001,419,2.7,215424.0,536336.0
B50E0539001,2157,-1.74,121255.0,391641.0
B58D0663001,2560,-1.41,191490.0,360630.0
B58D0660001,2321,-1.35,192915.0,359820.0
B12D2034001,619,-1.3,235289.0,551962.0
DONK002001,2244,-1.22,156948.0,407832.0
B21D0971001,2070,-1.17,197232.0,503256.0
B46B0721001,2954,-1.77,192193.0,416732.0
B23A0787001,2350,-2.44,263003.0,520602.0
B49F0230001,2953,-2.29,97588.0,391905.0
10-630002,2366,-2.25,55405.0,427393.0
B21B0408001,353,-2.2,195227.1,521935.49
B46B0709001,2020,-1.88,194809.0,418919.0
EA_AR_B11001,2498,-2.06,260908.0,528524.0
B58D0693001,2158,-1.92,190160.0,355665.0
NPD-PB11001,1365,0.91,219995.0,533058.0
21CC704A001,575,0.45,187284.0,508523.0
B31G2002001,1832,0.48,126935.84,449624.64
5256_PBF002,1739,0.51,115057.0,396050.0
B51A1784001,1318,0.39,146062.0,389063.0
B40C0498001,1958,0.4,187540.0,433480.0
B12D1818001,2599,0.4,230414.0,554570.0
B37B0232001,946,0.88,70386.2,443957.6
NPD-PB21001,2135,0.82,227409.0,536296.0
B16H1499001,2154,0.71,213590.0,536238.0
B31D1559001,220,0.71,117494.0,462098.0
NPD-PB14001,2661,0.68,220619.0,535022.0
B37C0558001,1242,0.83,67703.7,430742.6
B44G0317001,3,0.68,120068.0,401006.0
B40A0681001,508,0.59,184648.39,439773.62
ROODEBRAND-PB5001,154,0.56,232480.0,534555.0
B45A2476001,2067,0.56,147541.4,418590.76
NPD-PB4001,2193,0.57,222169.0,532409.0
B45D0322002,1303,0.59,149988.0,408600.0
B45A2472002,2130,0.63,144081.57,417686.52
B52G2953001,2314,-1.14,209292.0,385731.0
5216001,135,-0.22,100675.0,388477.0
B12D1812001,26,-0.21,230474.0,551732.0
5254001,1797,-0.2,115144.0,396369.0
9037_PBF001,1719,-0.19,88616.23,402060.93
B22D0559001,437,-0.18,235763.0,500008.0
5014002,1317,-0.32,111629.0,405096.0
BETU20004001,152,-0.29,162153.907,435128.982
B12D1810001,27,-0.25,230564.0,552272.0
9119_PBF001,1548,-0.27,126954.4143,413244.0877
B12D1819001,443,-0.27,230844.0,554712.0
B45G0381001,177,-0.18,160480.0,405020.0
B37E0382001,220,-0.17,89223.0,445083.1
B51A1797001,700,-0.1,146092.0,391371.0
B38F0586001,1886,-0.09,137316.0,445720.0
B34D1396001,248,-0.09,237453.0,455688.0
