Chloride_Lekhaven,Chloride_Lekhaven_T_12h,Chloride_Lekhaven_T_24h,Debiet_Lobith_T_30h,Waterstand_Hoek_van_Holland,delH_HvH_Spuihaven,delH_HvH_Spuihaven_T_12h,delH_HvH_Spuihaven_T_24h,U_matrix,X,Y,XY,Hits
194.3712150341796,184.33435919775388,185.9176783481446,2794.3069354214476,-0.2595128086349964,-0.21248885692578554,-0.21288217948558924,-0.2123339799284637,0.10389022738190143,29,6,389,61
193.86379160644537,183.84890033520492,184.410175725586,2819.401781463623,-0.22979261038804055,-0.19974123255020382,-0.19908672283276915,-0.19898139807593823,0.1067337745254739,30,6,390,44
192.24189023925783,182.89304457958974,182.80070520849608,2843.3674949298097,-0.20351449495887758,-0.18633783655411007,-0.18449787547567487,-0.18475181329259277,0.10913434489183786,31,6,391,54
189.77428315917973,181.54326039135753,181.46005914062494,2866.0033411398317,-0.17926318291687965,-0.17210360016655923,-0.16966852747675776,-0.17002822052922845,0.11093569655030991,32,6,392,34
187.3657596289063,180.44257800610353,180.6674905058594,2887.389613965759,-0.1547673952515125,-0.15735757395142316,-0.1552669177117348,-0.15527720101746917,0.11171493073285461,33,6,393,46
186.16786961914067,180.54801179248034,180.73933152246082,2908.2419325424194,-0.12790454771494866,-0.1428736600456834,-0.14183678676211833,-0.14095031657910348,0.11173170264608401,34,6,394,47
187.10973091308597,182.5918051899414,182.15877096337886,2929.9052192269896,-0.09618031915259362,-0.12936816786915065,-0.1295611242466867,-0.12739758476507665,0.11214418717579136,35,6,395,50
190.63157388183595,186.7153089890137,185.36612473681635,2953.6350694439698,-0.056588664091348634,-0.117131678858459,-0.11821576788243651,-0.11482993033090234,0.11383908208326843,36,6,396,53
196.32097217773435,192.25347930639646,190.12964762792967,2979.7195374594116,-0.007368018450498587,-0.10604868034791946,-0.10732919263383746,-0.10323821102711558,0.116185604062868,37,6,397,42
202.78193212402357,197.86464224511724,195.23962961523443,3007.194093135071,0.05033693601560593,-0.09573107595932484,-0.09643477497300505,-0.09230734575608372,0.11771539080512625,38,6,398,48
208.2894457666016,202.22102726464846,199.1086159770507,3034.4769471911623,0.11347594728279113,-0.0855617073711753,-0.08518483462426066,-0.08149630925482512,0.11803692299686253,39,6,399,62
211.68617062988278,204.64948019042959,200.69838815087883,3060.3325776712036,0.17949575212836266,-0.07471137034875155,-0.07319934136146307,-0.07021771199521423,0.11814728697800629,40,6,400,52
212.57010687499996,205.09670482275374,199.80616907373042,3084.2340560397342,0.24698843888020516,-0.06233482632130385,-0.05994337731686235,-0.05791714184898138,0.11887653036549754,41,6,401,48
211.0930181298827,203.8940644902343,196.8687984755859,3106.105103118286,0.31453671871900557,-0.04795529921543598,-0.044984956283271316,-0.04407349059662223,0.1197683514830983,42,6,402,57
208.01951503906253,201.718189206543,192.84338409375005,3125.9758291088865,0.3797400419621467,-0.03164707054704427,-0.02839237260055541,-0.028326618910998108,0.1196532691590452,43,6,403,42
204.61583916992186,199.27235708520516,188.91414397607423,3143.8141164627077,0.4394028108038902,-0.013731808730781087,-0.01069825676622986,-0.010724197092890742,0.1181162477010004,44,6,404,38
201.8562898437499,196.6793811081543,185.77515504101575,3159.6852039508058,0.49100659142541886,0.005619017007231705,0.007638283336877827,0.008314537417948256,0.11618172204299644,45,6,405,49
199.70611203124986,193.3993476000976,183.1460055786133,3174.102972354431,0.5341367799613476,0.02642504054784775,0.026727368247210975,0.028490175951540492,0.11544150105159381,46,6,406,45
197.23734645019522,188.82746055566395,180.05915931689447,3188.0088673236087,0.569934709184885,0.04875759832483531,0.047232008565664285,0.050023112021774035,0.11671892820476848,47,6,407,38
193.32393015136722,182.7957210844727,175.56909577929696,3202.2871251245115,0.5993501501479148,0.07265235855507851,0.0698678244085312,0.07338645703846217,0.11958272267788814,48,6,408,35
187.29277406738265,175.57292741113292,169.32124478710944,3217.279998386841,0.6226135127530098,0.09802129600608347,0.09483414375340937,0.09856976271650195,0.1227596810126812,49,6,409,33
179.2388752783204,167.63179365478527,161.73043027490235,3232.7295430465697,0.6403537356586456,0.12456433953213691,0.12167512638923525,0.12472606494474411,0.12504899381988652,50,6,410,20
169.85849287109363,159.5446746557618,153.71668074560557,3248.2543632113648,0.6547001010749339,0.15183416388112303,0.14964345578360555,0.15074425390428303,0.12645095332361295,51,6,411,28
159.93361500488277,151.87465635009767,146.10153298583987,3264.6222690328977,0.6695608699946404,0.17977186741048096,0.17841661273342374,0.17646466673839095,0.13020948954226827,52,6,412,26
149.71795339355458,144.58813895971684,138.92554240820323,3287.362497276611,0.6913841707086563,0.21071879041200875,0.2100741435492337,0.20481445582041147,0.14624097434902675,53,6,413,31
138.37275333007824,136.19167027978506,131.05663363818348,3333.5937014678957,0.7311861417856217,0.2532163255197406,0.25282149879735705,0.24517030401232837,0.18429555002152875,54,6,414,20
124.804389892578,124.60785713476548,121.13793844287102,3426.446538803406,0.7988281930963993,0.3182352308920026,0.3171479048399031,0.3089130058624148,0.22201380081369862,55,6,415,18
111.10279884277338,111.53986068920904,110.66421345800791,3551.007426219482,0.8791213555693627,0.39515194083023075,0.39230239480647444,0.384953339278549,0.21348725754903392,56,6,416,9
101.25901604492174,101.65689148266597,102.98997066845686,3654.2522979476926,0.9404787088689803,0.4551746779879332,0.45028004137894506,0.44396460052159425,0.16242775484519648,57,6,417,12
95.74339289550767,96.03182518749986,98.66212878124998,3716.686805522766,0.9756215773811341,0.4902627136928439,0.4837521103252471,0.47800315433320406,0.11285492341656375,58,6,418,8
92.8900049902345,93.11559617309581,96.41535892333991,3750.462422809143,0.994004134869814,0.5088501086969972,0.5012472249491513,0.49570646740433577,0.08985857906447688,59,6,419,229
387.31955268066406,423.2832361320801,441.59174535058594,2269.64870919281,-0.5564790228321552,-0.6087175885825753,-0.590393030696839,-0.5989139985555112,0.09257978656309504,0,7,420,229
381.87343958984377,415.08604889453125,431.5305268481445,2278.519174709778,-0.5432016521964074,-0.5969680198170543,-0.5797616606130004,-0.5884559181853831,0.09271035176059492,1,7,421,26
372.9356045556641,402.26367841284184,415.7069635786132,2290.9807836550904,-0.5240387821016311,-0.5786865861228705,-0.5630220317009091,-0.571841838836223,0.10461998711071537,2,7,422,38
360.5628141259765,385.34792807104486,394.80470392578127,2305.0673398364256,-0.5003052225441933,-0.5544227089325786,-0.540779316771239,-0.5492598296398818,0.1096803667138049,3,7,423,48
347.5354706445313,368.23984796508796,373.93141242480465,2315.9592035827636,-0.47663261444354055,-0.5294912797932625,-0.5184627524597049,-0.5255167547614873,0.10306919061401669,4,7,424,42
