xy_id,som_key,lon,lat
12036,2461,122125.0,461875.0
12037,2584,122375.0,461875.0
12038,2584,122625.0,461875.0
12039,2523,122875.0,461875.0
12040,2706,123125.0,461875.0
12041,2769,123375.0,461875.0
12042,2770,123625.0,461875.0
12043,2647,123875.0,461875.0
12044,2708,124125.0,461875.0
12045,2708,124375.0,461875.0
12046,2649,124625.0,461875.0
12047,2284,124875.0,461875.0
12048,2913,125125.0,461875.0
12049,2981,125375.0,461875.0
12050,2357,125625.0,461875.0
12051,2356,125875.0,461875.0
12052,2971,126125.0,461875.0
12053,2602,126375.0,461875.0
12054,2791,126625.0,461875.0
12055,2680,126875.0,461875.0
12056,2242,127125.0,461875.0
12057,2177,127375.0,461875.0
12058,2297,127625.0,461875.0
12059,2490,127875.0,461875.0
12060,2422,128125.0,461875.0
12061,2543,128375.0,461875.0
12062,1812,128625.0,461875.0
12063,2798,128875.0,461875.0
12064,2757,129125.0,461875.0
12065,722,129375.0,461875.0
12066,841,129625.0,461875.0
12067,1280,129875.0,461875.0
12100,2146,138125.0,461875.0
12101,2206,138375.0,461875.0
12102,2146,138625.0,461875.0
12103,2148,138875.0,461875.0
12104,2277,139125.0,461875.0
12105,1840,139375.0,461875.0
12106,1659,139625.0,461875.0
12107,1598,139875.0,461875.0
12108,208,140125.0,461875.0
12109,269,140375.0,461875.0
12110,149,140625.0,461875.0
12111,210,140875.0,461875.0
12112,519,141125.0,461875.0
12113,519,141375.0,461875.0
12114,580,141625.0,461875.0
12115,762,141875.0,461875.0
12116,580,142125.0,461875.0
12117,521,142375.0,461875.0
12118,338,142625.0,461875.0
12119,337,142875.0,461875.0
12120,396,143125.0,461875.0
12121,462,143375.0,461875.0
12122,336,143625.0,461875.0
12123,336,143875.0,461875.0
12124,706,144125.0,461875.0
12125,646,144375.0,461875.0
12126,405,144625.0,461875.0
12282,2840,115625.0,461625.0
12283,2992,115875.0,461625.0
12284,2771,116125.0,461625.0
12285,2990,116375.0,461625.0
12286,2970,116625.0,461625.0
12287,2888,116875.0,461625.0
12288,2835,117125.0,461625.0
12289,2948,117375.0,461625.0
12290,2949,117625.0,461625.0
12291,2887,117875.0,461625.0
12292,2947,118125.0,461625.0
12293,2887,118375.0,461625.0
12294,2825,118625.0,461625.0
12295,2580,118875.0,461625.0
12296,2641,119125.0,461625.0
12297,2825,119375.0,461625.0
12298,2941,119625.0,461625.0
12299,2700,119875.0,461625.0
12300,2520,120125.0,461625.0
12301,2522,120375.0,461625.0
12302,2523,120625.0,461625.0
12303,2400,120875.0,461625.0
12304,2582,121125.0,461625.0
12305,2582,121375.0,461625.0
12306,2705,121625.0,461625.0
12307,2523,121875.0,461625.0
12308,2583,122125.0,461625.0
12309,2767,122375.0,461625.0
12310,2584,122625.0,461625.0
12311,2645,122875.0,461625.0
12312,2766,123125.0,461625.0
12313,2830,123375.0,461625.0
12314,2841,123625.0,461625.0
12315,2649,123875.0,461625.0
12316,2709,124125.0,461625.0
12317,2405,124375.0,461625.0
12318,2407,124625.0,461625.0
12319,2345,124875.0,461625.0
12320,2465,125125.0,461625.0
12321,2417,125375.0,461625.0
12322,2357,125625.0,461625.0
12323,2603,125875.0,461625.0
12324,2918,126125.0,461625.0
12325,2734,126375.0,461625.0
12326,2663,126625.0,461625.0
12327,2663,126875.0,461625.0
12328,2239,127125.0,461625.0
12329,2422,127375.0,461625.0
12330,2365,127625.0,461625.0
12331,2362,127875.0,461625.0
12332,2358,128125.0,461625.0
12333,1239,128375.0,461625.0
12334,1821,128625.0,461625.0
12335,1706,128875.0,461625.0
12336,360,129125.0,461625.0
12337,360,129375.0,461625.0
12338,781,129625.0,461625.0
12339,1327,129875.0,461625.0
12340,1695,130125.0,461625.0
12372,2268,138125.0,461625.0
12373,2147,138375.0,461625.0
12374,2146,138625.0,461625.0
12375,2149,138875.0,461625.0
12376,2026,139125.0,461625.0
12377,1660,139375.0,461625.0
12378,1658,139625.0,461625.0
12379,1598,139875.0,461625.0
12380,269,140125.0,461625.0
12381,209,140375.0,461625.0
12382,210,140625.0,461625.0
12383,211,140875.0,461625.0
12384,106,141125.0,461625.0
12385,762,141375.0,461625.0
12386,580,141625.0,461625.0
12387,641,141875.0,461625.0
12388,702,142125.0,461625.0
12389,276,142375.0,461625.0
12390,276,142625.0,461625.0
12391,337,142875.0,461625.0
12392,337,143125.0,461625.0
12393,462,143375.0,461625.0
12394,336,143625.0,461625.0
12395,401,143875.0,461625.0
12396,462,144125.0,461625.0
12397,279,144375.0,461625.0
12398,133,144625.0,461625.0
12399,99,144875.0,461625.0
12400,214,145125.0,461625.0
12401,274,145375.0,461625.0
12402,43,145625.0,461625.0
12403,44,145875.0,461625.0
12553,2771,115375.0,461375.0
12554,2726,115625.0,461375.0
12555,2992,115875.0,461375.0
12556,2897,116125.0,461375.0
12557,2586,116375.0,461375.0
12558,2887,116625.0,461375.0
12559,2887,116875.0,461375.0
12560,2968,117125.0,461375.0
12561,2889,117375.0,461375.0
12562,2580,117625.0,461375.0
12563,2886,117875.0,461375.0
12564,2764,118125.0,461375.0
12565,2763,118375.0,461375.0
12566,2764,118625.0,461375.0
12567,2580,118875.0,461375.0
12568,2764,119125.0,461375.0
12569,2580,119375.0,461375.0
12570,2953,119625.0,461375.0
12571,2883,119875.0,461375.0
12572,2522,120125.0,461375.0
12573,2520,120375.0,461375.0
12574,2826,120625.0,461375.0
12575,2582,120875.0,461375.0
12576,2582,121125.0,461375.0
