,WSO1_ID,station,som_key,Country,lon,lat
66381,524680,AVILA,1471,Spain,-4.705725118481361,40.65163445322607
66383,524680,AVILA,1410,Spain,-4.705725118481361,40.65163445322607
66385,524680,AVILA,2123,Spain,-4.705725118481361,40.65163445322607
66390,524680,AVILA,937,Spain,-4.705725118481361,40.65163445322607
66391,524680,AVILA,878,Spain,-4.705725118481361,40.65163445322607
66396,524680,AVILA,1351,Spain,-4.705725118481361,40.65163445322607
66397,524680,AVILA,1592,Spain,-4.705725118481361,40.65163445322607
66400,524680,AVILA,1292,Spain,-4.705725118481361,40.65163445322607
66432,524831,MEDIANA DE VOLTOYA,1293,Spain,-4.537993355150604,40.718859198827914
66433,524831,MEDIANA DE VOLTOYA,1411,Spain,-4.537993355150604,40.718859198827914
66434,524831,MEDIANA DE VOLTOYA,997,Spain,-4.537993355150604,40.718859198827914
66437,524831,MEDIANA DE VOLTOYA,1532,Spain,-4.537993355150604,40.718859198827914
66447,524831,MEDIANA DE VOLTOYA,1471,Spain,-4.537993355150604,40.718859198827914
66449,524831,MEDIANA DE VOLTOYA,1352,Spain,-4.537993355150604,40.718859198827914
66451,524831,MEDIANA DE VOLTOYA,1592,Spain,-4.537993355150604,40.718859198827914
66453,524831,MEDIANA DE VOLTOYA,1233,Spain,-4.537993355150604,40.718859198827914
66454,524831,MEDIANA DE VOLTOYA,998,Spain,-4.537993355150604,40.718859198827914
66455,524831,MEDIANA DE VOLTOYA,938,Spain,-4.537993355150604,40.718859198827914
66460,524831,MEDIANA DE VOLTOYA,1234,Spain,-4.537993355150604,40.718859198827914
66477,507763,CABA&#209;ES DE ESGUEVA,880,Spain,-3.7892362348308337,41.831552388129005
66478,507763,CABA&#209;ES DE ESGUEVA,937,Spain,-3.7892362348308337,41.831552388129005
66479,507763,CABA&#209;ES DE ESGUEVA,938,Spain,-3.7892362348308337,41.831552388129005
66482,507763,CABA&#209;ES DE ESGUEVA,1291,Spain,-3.7892362348308337,41.831552388129005
66483,507763,CABA&#209;ES DE ESGUEVA,879,Spain,-3.7892362348308337,41.831552388129005
66484,507763,CABA&#209;ES DE ESGUEVA,1290,Spain,-3.7892362348308337,41.831552388129005
66488,507763,CABA&#209;ES DE ESGUEVA,1231,Spain,-3.7892362348308337,41.831552388129005
66517,507763,CABA&#209;ES DE ESGUEVA,1480,Spain,-3.7892362348308337,41.831552388129005
66529,524696,"ESPINAR, EL",1831,Spain,-4.154311178524492,40.752197215951966
66530,524696,"ESPINAR, EL",1891,Spain,-4.154311178524492,40.752197215951966
66531,524696,"ESPINAR, EL",1771,Spain,-4.154311178524492,40.752197215951966
66532,524696,"ESPINAR, EL",1830,Spain,-4.154311178524492,40.752197215951966
66534,524696,"ESPINAR, EL",2009,Spain,-4.154311178524492,40.752197215951966
66537,524696,"ESPINAR, EL",1890,Spain,-4.154311178524492,40.752197215951966
66579,523118,GUIJAS ALBAS,1651,Spain,-4.28165073339676,40.82173904507495
66580,523118,GUIJAS ALBAS,1589,Spain,-4.28165073339676,40.82173904507495
66581,523118,GUIJAS ALBAS,1530,Spain,-4.28165073339676,40.82173904507495
66586,523118,GUIJAS ALBAS,1650,Spain,-4.28165073339676,40.82173904507495
66587,523118,GUIJAS ALBAS,1528,Spain,-4.28165073339676,40.82173904507495
66590,523118,GUIJAS ALBAS,1591,Spain,-4.28165073339676,40.82173904507495
66592,523118,GUIJAS ALBAS,1470,Spain,-4.28165073339676,40.82173904507495
66594,523118,GUIJAS ALBAS,1590,Spain,-4.28165073339676,40.82173904507495
66595,523118,GUIJAS ALBAS,1529,Spain,-4.28165073339676,40.82173904507495
66602,523118,GUIJAS ALBAS,1173,Spain,-4.28165073339676,40.82173904507495
66603,523118,GUIJAS ALBAS,1649,Spain,-4.28165073339676,40.82173904507495
66624,511956,VILLAMARCIEL,758,Spain,-4.929316465232931,41.50599796983902
66625,511956,VILLAMARCIEL,954,Spain,-4.929316465232931,41.50599796983902
66626,511956,VILLAMARCIEL,1008,Spain,-4.929316465232931,41.50599796983902
66633,511956,VILLAMARCIEL,1350,Spain,-4.929316465232931,41.50599796983902
66676,511598,VALDESTILLAS,758,Spain,-4.768723648041832,41.49228712219662
66677,511598,VALDESTILLAS,1410,Spain,-4.768723648041832,41.49228712219662
66678,511598,VALDESTILLAS,817,Spain,-4.768723648041832,41.49228712219662
66683,511598,VALDESTILLAS,1468,Spain,-4.768723648041832,41.49228712219662
66730,510083,TORO,758,Spain,-5.411594302119408,41.51700398773967
66731,510083,TORO,954,Spain,-5.411594302119408,41.51700398773967
66732,510083,TORO,1008,Spain,-5.411594302119408,41.51700398773967
66784,508885,CARRASCAL,955,Spain,-5.813452827808877,41.48900140713639
66785,508885,CARRASCAL,954,Spain,-5.813452827808877,41.48900140713639
66787,508885,CARRASCAL,698,Spain,-5.813452827808877,41.48900140713639
66791,508885,CARRASCAL,758,Spain,-5.813452827808877,41.48900140713639
66823,481622,CALDAS DE NOCEDO,2310,Spain,-5.3989968330463585,42.89980088800521
66824,481622,CALDAS DE NOCEDO,2194,Spain,-5.3989968330463585,42.89980088800521
66825,481622,CALDAS DE NOCEDO,2311,Spain,-5.3989968330463585,42.89980088800521
66826,481622,CALDAS DE NOCEDO,2135,Spain,-5.3989968330463585,42.89980088800521
66827,481622,CALDAS DE NOCEDO,2251,Spain,-5.3989968330463585,42.89980088800521
66830,481622,CALDAS DE NOCEDO,2252,Spain,-5.3989968330463585,42.89980088800521
66833,481622,CALDAS DE NOCEDO,2191,Spain,-5.3989968330463585,42.89980088800521
66838,481622,CALDAS DE NOCEDO,2192,Spain,-5.3989968330463585,42.89980088800521
66839,481622,CALDAS DE NOCEDO,2193,Spain,-5.3989968330463585,42.89980088800521
66848,481622,CALDAS DE NOCEDO,2133,Spain,-5.3989968330463585,42.89980088800521
